,Date
0,1981-02-11
1,1981-02-12
2,1981-02-13
3,1981-02-17
4,1981-02-18
5,1981-02-19
6,1981-02-20
7,1981-02-23
8,1981-02-24
9,1981-02-25
10,1981-02-26
11,1981-02-27
12,1981-03-02
13,1981-03-03
14,1981-03-04
15,1981-03-05
16,1981-03-06
17,1981-03-09
18,1981-03-10
19,1981-03-11
20,1981-03-12
21,1981-03-13
22,1981-03-16
23,1981-03-17
24,1981-03-18
25,1981-03-19
26,1981-03-20
27,1981-03-23
28,1981-03-24
29,1981-03-25
30,1981-03-26
31,1981-03-27
32,1981-03-30
33,1981-03-31
34,1981-04-01
35,1981-04-02
36,1981-04-03
37,1981-04-06
38,1981-04-07
39,1981-04-08
40,1981-04-09
