,Season,Quarter,Open,High,Low,Close,Adj Close,Volume,Open_24hr_Change,Gain/Loss_Open
0,Winter,Q1,0.11830399999999999,0.11830399999999999,0.117746,0.117746,0.092428,13843200,-0.003348,Loss
1,Winter,Q1,0.11718800000000001,0.11718800000000001,0.116629,0.116629,0.091552,14560000,-0.001116,Loss
2,Winter,Q1,0.114955,0.114955,0.11383900000000001,0.11383900000000001,0.089362,11155200,-0.0022329999999999997,Loss
3,Winter,Q1,0.116629,0.11718800000000001,0.116629,0.116629,0.091552,12275200,0.001674,Gain
4,Winter,Q1,0.121652,0.122768,0.121652,0.121652,0.09549500000000001,19241600,0.005023,Gain
5,Winter,Q1,0.114955,0.114955,0.114397,0.114397,0.0898,22310400,-0.006697,Loss
6,Winter,Q1,0.10881700000000001,0.10881700000000001,0.108259,0.108259,0.084981,24371200,-0.006138,Loss
7,Winter,Q1,0.10993299999999999,0.110491,0.10993299999999999,0.10993299999999999,0.08629500000000001,14112000,0.001116,Gain
8,Winter,Q1,0.107143,0.107143,0.106027,0.106027,0.083229,16979200,-0.00279,Loss
9,Winter,Q1,0.112723,0.11328099999999999,0.112723,0.112723,0.08848500000000001,19488000,0.00558,Gain
10,Winter,Q1,0.114397,0.114955,0.114397,0.114397,0.0898,10841600,0.001674,Gain
11,Winter,Q1,0.11830399999999999,0.11942,0.11830399999999999,0.11830399999999999,0.09286599999999999,14761600,0.003907,Gain
12,Spring,Q1,0.118862,0.11942,0.118862,0.118862,0.093304,11760000,0.000558,Gain
13,Spring,Q1,0.117746,0.117746,0.11718800000000001,0.11718800000000001,0.09199,16172800,-0.001116,Loss
14,Spring,Q1,0.116629,0.116629,0.11607100000000001,0.11607100000000001,0.091114,13708800,-0.001117,Loss
15,Spring,Q1,0.11607100000000001,0.11607100000000001,0.115513,0.115513,0.09067599999999999,5376000,-0.000558,Loss
16,Spring,Q1,0.115513,0.115513,0.114397,0.114397,0.0898,11603200,-0.000558,Loss
17,Spring,Q1,0.106027,0.106027,0.10546900000000001,0.10546900000000001,0.082791,15321600,-0.009486,Loss
18,Spring,Q1,0.101004,0.101004,0.10044600000000001,0.10044600000000001,0.078848,28380800,-0.005023,Loss
19,Spring,Q1,0.09765599999999999,0.09765599999999999,0.09654,0.09654,0.075782,29859200,-0.003348,Loss
20,Spring,Q1,0.10044600000000001,0.101004,0.10044600000000001,0.10044600000000001,0.078848,59248000,0.00279,Gain
21,Spring,Q1,0.099888,0.099888,0.09933,0.09933,0.077972,231302400,-0.000558,Loss
22,Spring,Q1,0.103237,0.104353,0.103237,0.103237,0.081039,37228800,0.0033490000000000004,Gain
23,Spring,Q1,0.108259,0.109375,0.108259,0.108259,0.084981,43747200,0.0050219999999999996,Gain
24,Spring,Q1,0.114955,0.11607100000000001,0.114955,0.114955,0.090238,36937600,0.006696,Gain
25,Spring,Q1,0.114397,0.114397,0.11383900000000001,0.11383900000000001,0.089362,37811200,-0.000558,Loss
26,Spring,Q1,0.114955,0.11607100000000001,0.114955,0.114955,0.090238,14604800,0.000558,Gain
27,Spring,Q1,0.11942,0.12053599999999999,0.11942,0.11942,0.09374199999999999,22019200,0.004465,Gain
28,Spring,Q1,0.11942,0.11942,0.118862,0.118862,0.093304,28156800,0.0,Gain
29,Spring,Q1,0.117746,0.117746,0.116629,0.116629,0.091552,7056000,-0.001674,Loss
30,Spring,Q1,0.114955,0.114955,0.114397,0.114397,0.0898,12275200,-0.002791,Loss
31,Spring,Q1,0.111049,0.111049,0.110491,0.110491,0.086733,12252800,-0.003906,Loss
32,Spring,Q1,0.110491,0.111607,0.110491,0.110491,0.086733,9900800,-0.000558,Loss
33,Spring,Q1,0.110491,0.110491,0.109375,0.109375,0.085857,15993600,0.0,Gain
34,Spring,Q2,0.10881700000000001,0.10881700000000001,0.108259,0.108259,0.084981,34070400,-0.001674,Loss
35,Spring,Q2,0.117746,0.11830399999999999,0.117746,0.117746,0.092428,31404800,0.008929000000000001,Gain
36,Spring,Q2,0.11830399999999999,0.118862,0.11830399999999999,0.11830399999999999,0.09286599999999999,16486400,0.000558,Gain
37,Spring,Q2,0.116629,0.116629,0.11607100000000001,0.11607100000000001,0.091114,22803200,-0.001675,Loss
38,Spring,Q2,0.115513,0.115513,0.114955,0.114955,0.090238,10684800,-0.001116,Loss
39,Spring,Q2,0.12053599999999999,0.121652,0.12053599999999999,0.12053599999999999,0.094618,21952000,0.005023,Gain
40,Spring,Q2,0.122768,0.123326,0.122768,0.122768,0.096371,12499200,0.002232,Gain
